Modelo,Accuracy,Precision,Recall,F1-Score,Tiempo Total (s),Latencia Promedio (s)
RoBERTa-Financiera,0.7495812395309883,0.7825946494341455,0.7495812395309883,0.7579812180156977,5.101438760757446,0.002136280888089383
FinBERT,0.7252931323283082,0.7525862856526272,0.7252931323283082,0.7328700943132527,8.935559511184692,0.0037418590917858846
RoBERTa,0.7001675041876047,0.6912752131849376,0.7001675041876047,0.6925945229170279,8.103988885879517,0.0033936301867167154
